"Gene","GeneName"
"LOC102654658","PREDICTED: extracellular matrix-binding protein EbhA-like, partial"
"LOC102654706","PREDICTED: putative transcriptional regulator, partial"
"LOC102654744","PREDICTED: aldo-keto reductase yakc [NADP(+)]-like"
"LOC102654894","PREDICTED: uncharacterized protein LOC102654894"
"LOC102654997","PREDICTED: cytidylate kinase-like, partial"
"LOC102655121","PREDICTED: protein PIH1D3-like"
"LOC102655151","PREDICTED: succinate-semialdehyde dehydrogenase [NADP(+)] GabD-like"
"LOC102655221","PREDICTED: low molecular weight protein-tyrosine-phosphatase YfkJ-like, partial"
"LOC102655289","PREDICTED: 5-hydroxytryptamine receptor 2B-like"
"LOC102655345","PREDICTED: MAP kinase-activating death domain protein-like, partial"
"LOC102655386","PREDICTED: cobalt/magnesium transport protein CorA-like"
"LOC102655505","PREDICTED: uncharacterized protein LOC102655505"
"LOC102655547","PREDICTED: uncharacterized protein LOC102655547"
"LOC102655649","PREDICTED: potassium voltage-gated channel subfamily KQT member 1-like"
"LOC102655695","PREDICTED: ABC transporter glutamine-binding protein GlnH-like"
"LOC102655731","PREDICTED: uncharacterized protein LOC102655731"
"LOC724183","PREDICTED: cytidine deaminase-like"
"LOC727178","PREDICTED: adenylate kinase-like, partial"
"LOC102655963","PREDICTED: probable RNA 2'-phosphotransferase"
"LOC102656193","PREDICTED: dihydroorotate dehydrogenase-like, partial"
"LOC102656227","PREDICTED: glutathione S-transferase F14-like"
"LOC102656273","PREDICTED: lincomycin resistance protein LmrB-like, partial"
"LOC102656322","PREDICTED: ATP-binding cassette sub-family F member 2-like, partial"
"LOC102656363","PREDICTED: anaerobic ribonucleoside-triphosphate reductase-activating protein-like"
"LOC102656405","PREDICTED: putative transcriptional regulator"
"LOC102656503","PREDICTED: xanthine permease-like"
"LOC102656588","PREDICTED: bicyclomycin resistance protein homolog, partial"
"LOC102656754","PREDICTED: anthranilate synthase component 2-like"
"LOC102653654","PREDICTED: helix-loop-helix protein 1-like"
"LOC726926","PREDICTED: SWI/SNF complex subunit SMARCC2-like, partial"
"LOC102653887","PREDICTED: farnesol dehydrogenase-like"
"LOC102653943","PREDICTED: single-stranded DNA-binding protein-like"
"LOC102653981","PREDICTED: uncharacterized protein YqkD-like, partial"
"LOC102654035","PREDICTED: UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase-like, partial"
"LOC102654181","PREDICTED: uncharacterized protein NMB1333-like, partial"
"LOC102654311","PREDICTED: glutathione reductase, chloroplastic-like, partial"
"LOC550976","PREDICTED: armadillo segment polarity protein"
"LOC102654474","PREDICTED: arginine biosynthesis bifunctional protein ArgJ-like, partial"
"LOC102654575","PREDICTED: probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial, partial"
"LOC102654813","PREDICTED: general stress protein 69-like"
"LOC102654851","PREDICTED: pre-mRNA 3'-end-processing factor FIP1-like, partial"
"LOC102654918","PREDICTED: uncharacterized protein LOC102654918"
"LOC102654962","PREDICTED: uncharacterized protein HI_0350-like"
"LOC102655473","PREDICTED: von Willebrand factor D and EGF domain-containing protein-like, partial"
"LOC102655533","PREDICTED: iron-regulated protein FrpA-like, partial"
"LOC102655570","PREDICTED: uncharacterized transporter sll1263-like"
"LOC102655732","PREDICTED: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC-like"
"LOC102655853","PREDICTED: putative uncharacterized protein DDB_G0286901, partial"
"LOC102655887","PREDICTED: putative 2-hydroxyacid dehydrogenase HI_1556"
"LOC727572","PREDICTED: potassium channel subfamily K member 2-like, partial"
"LOC102656098","PREDICTED: sphingomyelin synthase-related 1-like"
"LOC100578683","PREDICTED: transient receptor potential cation channel subfamily V member 5-like"
"LOC102656680","PREDICTED: probable phosphoketolase 1, partial"
"LOC102656714","PREDICTED: chitotriosidase-1-like, partial"
"LOC102656771","PREDICTED: uncharacterized NAD(P)H oxidoreductase YrkL-like, partial"
"LOC102656898","PREDICTED: uncharacterized protein LOC102656898"
"LOC102653711","PREDICTED: dihydroxyacetone kinase-like, partial"
"LOC102653756","PREDICTED: putative ribosomal-protein-alanine acetyltransferase, partial"
"LOC726739","PREDICTED: uncharacterized protein LOC726739"
"LOC551232","PREDICTED: probable nuclear hormone receptor HR38"
"LOC102654101","PREDICTED: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase-like"
"LOC102654182","PREDICTED: protein toll-like"
"LOC102654220","PREDICTED: uncharacterized protein LOC102654220"
"LOC102654383","PREDICTED: cadmium, cobalt and zinc/H(+)-K(+) antiporter-like, partial"
"LOC102654423","PREDICTED: probable cytosol aminopeptidase"
"LOC102654547","PREDICTED: chaperone protein ClpB-like, partial"
"LOC102654590","PREDICTED: electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial-like, partial"
"LOC102654670","PREDICTED: catechol O-methyltransferase domain-containing protein 1-like, partial"
"LOC102654718","PREDICTED: poly(A) polymerase I-like, partial"
"LOC102654821","PREDICTED: neurochondrin homolog, partial"
"LOC102654864","PREDICTED: adenylate cyclase type 5-like"
"LOC102655244","PREDICTED: histone-lysine N-methyltransferase NSD2-like, partial"
"LOC102655314","PREDICTED: iron-regulated protein FrpA-like, partial"
"LOC102655387","PREDICTED: putative L-ribulose-5-phosphate 3-epimerase SgbU"
"LOC551697","PREDICTED: glutamate receptor ionotropic, delta-2-like"
"LOC102655571","PREDICTED: uncharacterized protein LOC102655571, partial"
"LOC406115","PREDICTED: apidaecins type 73, partial"
"LOC102655834","PREDICTED: uncharacterized protein LOC102655834, partial"
"LOC102655874","PREDICTED: uncharacterized protein LOC102655874, partial"
"LOC102655911","PREDICTED: peptide chain release factor 2-like"
"LOC102655951","PREDICTED: IMPACT family member YvyE-like, partial"
"LOC102656364","PREDICTED: large-conductance mechanosensitive channel-like, partial"
"LOC102656406","PREDICTED: thiamine pyrophosphokinase-like"
"LOC102656480","PREDICTED: proline iminopeptidase-like"
"LOC102656517","PREDICTED: putative uncharacterized protein DDB_G0287265"
"LOC102656624","PREDICTED: aldehyde-alcohol dehydrogenase 2-like, partial"
"LOC551141","PREDICTED: sucrose-6-phosphate hydrolase-like"
"LOC102656681","PREDICTED: farnesol dehydrogenase-like"
"LOC102656715","PREDICTED: HTH-type transcriptional regulator FrlR-like"
"LOC100577399","PREDICTED: uncharacterized protein LOC100577399, partial"
"LOC102656867","PREDICTED: ATP-dependent RNA helicase RhlE-like, partial"
"LOC102653618","PREDICTED: methylated-DNA--protein-cysteine methyltransferase-like"
"LOC551937","PREDICTED: alanine--glyoxylate aminotransferase 2-like"
"LOC100577536","PREDICTED: uncharacterized protein LOC100577536, partial"
"LOC102653899","PREDICTED: probable cytochrome P450 6a13, partial"
"LOC726461","PREDICTED: SH3 and multiple ankyrin repeat domains protein 1"
"LOC724555","PREDICTED: uncharacterized protein LOC724555"
"LOC100578621","PREDICTED: uncharacterized protein LOC100578621"
"LOC409151","PREDICTED: ataxin-2-like protein"
"LOC100578571","PREDICTED: uncharacterized protein LOC100578571"
"LOC408693","PREDICTED: epidermal growth factor receptor kinase substrate 8-like protein 1"
"LOC412132","PREDICTED: serine/threonine-protein kinase Genghis Khan"
"LOC552405","PREDICTED: LOW QUALITY PROTEIN: GPN-loop GTPase 2"
"LOC100578213","PREDICTED: probable serine/threonine-protein kinase dyrk2"
"LOC107964039","PREDICTED: uncharacterized protein LOC107964039"
"LOC107963963","PREDICTED: uncharacterized protein LOC107963963"
"LOC408712","PREDICTED: BUD13 homolog"
"LOC410895","PREDICTED: uncharacterized protein MAL13P1.304"
"LOC408711","PREDICTED: zinc finger matrin-type protein 5-like"
"LOC408718","PREDICTED: ALK tyrosine kinase receptor"
"LOC408691","PREDICTED: RING-box protein 1A"
"LOC725294","PREDICTED: tyrosine-protein phosphatase 99A-like"
"LOC408660","PREDICTED: uncharacterized protein LOC408660"
"LOC725697","PREDICTED: protein dead ringer-like"
"LOC410833","PREDICTED: adenosine deaminase-like protein"
"LOC724299","PREDICTED: uncharacterized protein LOC724299"
"LOC410863","PREDICTED: LOW QUALITY PROTEIN: protein lin-9 homolog"
"LOC100577605","PREDICTED: uncharacterized protein LOC100577605"
"LOC107964048","PREDICTED: uncharacterized protein LOC107964048"
"LOC410893","PREDICTED: transcription factor AP-2-epsilon"
"LOC552101","PREDICTED: msx2-interacting protein-like"
"LOC726231","PREDICTED: uncharacterized protein LOC726231"
"LOC102656434","PREDICTED: uncharacterized protein LOC102656434"
"LOC725588","PREDICTED: uncharacterized protein LOC725588"
"LOC107963989","PREDICTED: uncharacterized protein LOC107963989"
"LOC725506","PREDICTED: uncharacterized protein LOC725506"
"LOC410879","PREDICTED: U3 small nucleolar RNA-interacting protein 2"
"LOC100578899","PREDICTED: muscle calcium channel subunit alpha-1"
"LOC551992","PREDICTED: rRNA 2'-O-methyltransferase fibrillarin"
"LOC100577939","PREDICTED: uncharacterized protein LOC100577939"
"LOC107964061","PREDICTED: cell wall integrity and stress response component 1-like"
"LOC107964064","PREDICTED: inositol-pentakisphosphate 2-kinase-like, partial"
"LOC410888","PREDICTED: lachesin-like"
"LOC107964069","PREDICTED: uncharacterized protein LOC107964069"
"LOC408694","PREDICTED: plastin-2"
"LOC107964072","PREDICTED: uncharacterized protein LOC107964072"
"LOC413786","PREDICTED: netrin-A-like"
"LOC725893","PREDICTED: uncharacterized protein LOC725893"
"LOC725826","PREDICTED: caseinolytic peptidase B protein homolog"
"LOC724599","PREDICTED: chromodomain-helicase-DNA-binding protein 1"
"LOC107964077","PREDICTED: chromodomain-helicase-DNA-binding protein 1-like"
"LOC408666","PREDICTED: uncharacterized protein LOC408666"
"LOC409246","PREDICTED: MAP kinase-activated protein kinase 2"
"LOC100576249","PREDICTED: uncharacterized protein LOC100576249"
"LOC411729","PREDICTED: sodium- and chloride-dependent GABA transporter ine"
"LOC725295","PREDICTED: GRIP and coiled-coil domain-containing protein 1"
"LOC726735","PREDICTED: uncharacterized protein LOC726735"
"LOC725270","PREDICTED: sentrin-specific protease 6-like"
"LOC107964089","PREDICTED: aquaporin-11"
"LOC724471","PREDICTED: LOW QUALITY PROTEIN: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like"
"LOC411906","PREDICTED: LOW QUALITY PROTEIN: histone-lysine N-methyltransferase KMT5B-B-like"
"LOC410891","PREDICTED: LOW QUALITY PROTEIN: protein dispatched"
"LOC411871","PREDICTED: LOW QUALITY PROTEIN: dual specificity tyrosine-phosphorylation-regulated kinase 2-like, partial"
"LOC412697","PREDICTED: sphingomyelin synthase-related 1"
"LOC550695","PREDICTED: carnitine O-palmitoyltransferase 1, liver isoform"
"LOC552364","PREDICTED: gephyrin"
"LOC100577437","PREDICTED: uncharacterized protein LOC100577437"
"LOC408705","PREDICTED: LOW QUALITY PROTEIN: RNA-binding protein 25-like"
"LOC413060","PREDICTED: DNA-binding protein D-ETS-4"
"LOC551595","PREDICTED: WD repeat-containing protein CG11141"
"LOC410736","PREDICTED: uncharacterized protein LOC410736"
"LOC107964097","PREDICTED: uncharacterized protein LOC107964097"
"LOC724776","PREDICTED: uncharacterized protein LOC724776"
"LOC726646","PREDICTED: probable cytochrome P450 6a13"
"LOC102655388","PREDICTED: small VCP/p97-interacting protein"
"LOC100579011","PREDICTED: uncharacterized protein LOC100579011"
"LOC102655559","PREDICTED: uncharacterized protein LOC102655559"
"LOC100578724","PREDICTED: uncharacterized protein LOC100578724"
"LOC102655483","PREDICTED: uncharacterized protein LOC102655483, partial"
"LOC412711","PREDICTED: kinesin-like protein KIF3A"
"LOC100577255","PREDICTED: uncharacterized protein LOC100577255"
"LOC107964102","PREDICTED: uncharacterized protein LOC107964102"
"LOC410870","PREDICTED: otopetrin-3-like"
"LOC726295","PREDICTED: LOW QUALITY PROTEIN: 40S ribosomal protein S27"
"LOC552311","PREDICTED: T-box transcription factor TBX10-like"
"LOC100576818","PREDICTED: dolichyl-phosphate beta-glucosyltransferase"
"LOC107964107","PREDICTED: uncharacterized protein LOC107964107"
"LOC409780","PREDICTED: CUGBP Elav-like family member 2"
"LOC100577228","PREDICTED: uncharacterized protein LOC100577228, partial"
"LOC413393","PREDICTED: box C/D snoRNA protein 1"
"LOC551531","PREDICTED: ribosome biogenesis protein BOP1 homolog"
"LOC107964018","PREDICTED: arginine-glutamic acid dipeptide repeats protein-like"
"LOC100576677","PREDICTED: DNA repair protein RAD51 homolog 4"
"LOC551170","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC551170"
"LOC551171","PREDICTED: peroxisomal membrane protein 2"
"LOC725664","PREDICTED: uncharacterized protein LOC725664"
"LOC100576502","PREDICTED: tripartite motif-containing protein 45-like"
"LOC100577224","PREDICTED: protein PF14_0175-like"
"LOC102654488","PREDICTED: mpv17-like protein"
"LOC725895","PREDICTED: LOW QUALITY PROTEIN: multiple epidermal growth factor-like domains protein 8"
"LOC107964132","PREDICTED: spindle pole body component 110"
"LOC725123","PREDICTED: uncharacterized protein LOC725123"
"LOC551917","PREDICTED: succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like"
"LOC408725","PREDICTED: protein sickie-like"
"LOC724215","PREDICTED: DNA topoisomerase 2"
"LOC107964133","PREDICTED: uncharacterized protein LOC107964133"
"LOC107964134","PREDICTED: mitotic-spindle organizing protein 2-like"
"LOC107964135","PREDICTED: uncharacterized protein LOC107964135"
"LOC100578530","PREDICTED: E3 SUMO-protein ligase NSE2-like"
"Csd","PREDICTED: complementary sex determiner"
"LOC408733","PREDICTED: uncharacterized protein LOC408733"
"LOC102656610","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC102656610"
"LOC414017","PREDICTED: protein Daple"
"LOC408734","PREDICTED: succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like"
"LOC107964141","PREDICTED: uncharacterized protein LOC107964141"
"LOC100577047","PREDICTED: uncharacterized protein LOC100577047"
"LOC410925","PREDICTED: hormone receptor 4"
"LOC107964145","PREDICTED: uncharacterized protein LOC107964145"
"LOC102655950","PREDICTED: peroxisome biogenesis factor 2"
"LOC102654159","PREDICTED: dnaJ homolog subfamily C member 18-like"
"LOC410904","PREDICTED: formin-like protein CG32138"
"LOC724535","PREDICTED: uncharacterized protein LOC724535"
"LOC726283","PREDICTED: neuronal calcium sensor 2"
"LOC412243","PREDICTED: protein split ends-like"
"LOC102653954","PREDICTED: uncharacterized protein LOC102653954"
"LOC102654462","PREDICTED: uncharacterized protein LOC102654462"
"LOC412924","PREDICTED: protein ROP"
"LOC412923","PREDICTED: argininosuccinate synthase"
"LOC100576697","PREDICTED: uncharacterized protein LOC100576697"
"LOC413376","PREDICTED: E3 ubiquitin-protein ligase TRIM37-like"
"LOC413498","PREDICTED: F-box only protein 21-like"
"LOC107964161","PREDICTED: uncharacterized protein LOC107964161"
"LOC107964163","PREDICTED: uncharacterized protein LOC107964163"
"LOC410956","PREDICTED: serine/threonine-protein kinase NLK2"
"LOC409703","PREDICTED: uncharacterized protein LOC409703"
"LOC100577574","PREDICTED: leucine-rich repeat-containing protein 4C-like"
"LOC552399","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC552399"
"LOC412844","PREDICTED: dual specificity protein phosphatase CDC14B-like"
"LOC107964172","PREDICTED: uncharacterized protein LOC107964172"
"LOC410973","PREDICTED: mediator of RNA polymerase II transcription subunit 22"
"LOC725698","PREDICTED: uncharacterized protein LOC725698"
"LOC413341","PREDICTED: helicase domino"
"LOC410117","PREDICTED: glycerophosphocholine phosphodiesterase GPCPD1-like"
"LOC725819","PREDICTED: prolyl 3-hydroxylase 2-like"
"LOC725037","PREDICTED: DNA endonuclease RBBP8-like"
"LOC724603","PREDICTED: LOW QUALITY PROTEIN: guanylate cyclase 32E-like"
"LOC724737","PREDICTED: trichohyalin-like"
"LOC100578706","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100578706"
"LOC410907","PREDICTED: U4/U6 small nuclear ribonucleoprotein Prp31"
"LOC102654620","PREDICTED: glutamic acid-rich protein-like"
"LOC410913","PREDICTED: sodium/potassium-transporting ATPase subunit alpha-like"
"LOC102656190","PREDICTED: uncharacterized protein LOC102656190"
"LOC107964189","PREDICTED: uncharacterized protein LOC107964189"
"LOC100578418","PREDICTED: uncharacterized protein LOC100578418"
"LOC100577278","PREDICTED: uncharacterized protein LOC100577278"
"LOC412850","PREDICTED: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog"
"LOC551597","PREDICTED: cysteine-rich venom protein-like"
"LOC408759","PREDICTED: uncharacterized protein LOC408759"
"LOC409856","PREDICTED: guanine nucleotide-releasing factor 2"
"LOC100578109","PREDICTED: NADPH:adrenodoxin oxidoreductase, mitochondrial"
"LOC107964205","PREDICTED: cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2"
"LOC100578233","PREDICTED: dynein regulatory complex protein 1"
"LOC107964206","PREDICTED: zinc finger protein 717-like"
"LOC107964207","PREDICTED: uncharacterized protein LOC107964207, partial"
"LOC412419","PREDICTED: ribosomal protein S6 kinase beta-1-like"
"LOC552489","PREDICTED: SEC14-like protein 2"
"LOC413829","PREDICTED: diuretic hormone receptor"
"LOC409910","PREDICTED: ras-like GTP-binding protein Rho1"
"LOC100576901","PREDICTED: cGMP-dependent protein kinase 1-like"
"LOC550645","PREDICTED: max-binding protein MNT"
"LOC725830","PREDICTED: THO complex subunit 6 homolog"
"LOC100576234","PREDICTED: uncharacterized protein LOC100576234"
"LOC725864","PREDICTED: LOW QUALITY PROTEIN: bromodomain-containing protein 4"
"LOC102655189","PREDICTED: sperm flagellar protein 1-like"
"LOC724947","PREDICTED: lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase"
"LOC102656384","PREDICTED: dual specificity protein phosphatase 19-like"
"LOC410961","PREDICTED: mitoguardin"
"LOC551539","PREDICTED: uncharacterized protein LOC551539"
"LOC414029","PREDICTED: ABC transporter A family member 1-like"
"LOC409523","PREDICTED: mitogen-activated protein kinase 1"
"LOC550745","PREDICTED: LOW QUALITY PROTEIN: NEDD8-activating enzyme E1 regulatory subunit"
"LOC724167","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein MAL13P1.304"
"LOC107964213","PREDICTED: phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform"
"LOC410968","PREDICTED: ribonuclease 3"
"LOC551083","PREDICTED: probable tRNA pseudouridine synthase 2"
"LOC551875","PREDICTED: dnaJ homolog subfamily C member 28"
"LOC410114","PREDICTED: solute carrier family 23 member 1"
"LOC410954","PREDICTED: LOW QUALITY PROTEIN: sterile alpha and TIR motif-containing protein 1"
"LOC413817","PREDICTED: inositol-trisphosphate 3-kinase A"
"LOC413363","PREDICTED: F-box only protein 42"
"LOC102654169","PREDICTED: acyl carrier protein, mitochondrial"
"LOC100576953","PREDICTED: adenylate kinase 8"
"LOC551331","PREDICTED: splicing factor 3B subunit 1"
"LOC725359","PREDICTED: uncharacterized protein LOC725359"
"LOC100578666","PREDICTED: uncharacterized protein LOC100578666"
"LOC725829","PREDICTED: uncharacterized protein LOC725829"
"LOC410938","PREDICTED: polypeptide N-acetylgalactosaminyltransferase 13"
"LOC724695","PREDICTED: DNA excision repair protein ERCC-6-like"
"LOC725699","PREDICTED: uncharacterized protein LOC725699"
"LOC410933","PREDICTED: serine/threonine-protein kinase S6KL"
"LOC724994","PREDICTED: uncharacterized protein LOC724994"
"LOC411613","PREDICTED: uncharacterized protein LOC411613"
"LOC551430","PREDICTED: PDZ domain-containing protein 8"
"LOC552647","PREDICTED: E3 ubiquitin-protein ligase Bre1"
"LOC551215","PREDICTED: uncharacterized protein LOC551215"
"LOC724628","PREDICTED: protein mago nashi homolog"
"LOC107964236","PREDICTED: SPX and EXS domain-containing protein 4-like"
"LOC100577743","PREDICTED: uncharacterized protein LOC100577743"
"LOC100577436","PREDICTED: sperm flagellar protein 2-like"
"LOC100577959","PREDICTED: uncharacterized protein LOC100577959, partial"
"LOC726325","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC726325"
"LOC724739","PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 571-like"
"LOC552548","PREDICTED: DNA-dependent protein kinase catalytic subunit-like"
"LOC100578955","PREDICTED: uncharacterized protein LOC100578955"
"LOC100576135","PREDICTED: uncharacterized protein LOC100576135"
"LOC100576476","PREDICTED: UBX domain-containing protein 11-like"
"LOC727085","PREDICTED: zinc finger protein 431-like, partial"
"LOC102655315","PREDICTED: mitochondrial pyruvate carrier 1-like"
"LOC726989","PREDICTED: E3 ubiquitin-protein ligase listerin"
"LOC551173","PREDICTED: eukaryotic translation initiation factor 4E type 2"
"LOC100576898","PREDICTED: esterase GA18864"
"LOC727528","PREDICTED: zinc finger BED domain-containing protein 1-like"
"LOC725269","PREDICTED: LOW QUALITY PROTEIN: protein bark beetle"
"LOC107964258","PREDICTED: spermatogenesis-associated protein 17-like"
"LOC102653955","PREDICTED: protein NDUFAF4 homolog"
"LOC100578823","PREDICTED: kinetochore-associated protein 1"
"LOC551722","PREDICTED: diacylglycerol kinase epsilon"
"LOC107964259","PREDICTED: uncharacterized protein LOC107964259"
"LOC724604","PREDICTED: uncharacterized protein LOC724604"
"LOC100578330","PREDICTED: uncharacterized protein LOC100578330, partial"
"LOC102655466","PREDICTED: ADP-ribosylation factor-like protein 6"
"LOC726681","PREDICTED: LOW QUALITY PROTEIN: protein cappuccino, partial"
"LOC107964260","PREDICTED: late cornified envelope-like proline-rich protein 1"
"LOC102656652","PREDICTED: vesicle-associated membrane protein 4-like"
"LOC102656009","PREDICTED: succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial-like, partial"
"LOC413590","PREDICTED: alkylglycerol monooxygenase-like"
"LOC552249","PREDICTED: lysosomal alpha-mannosidase-like"
"LOC724889","PREDICTED: LOW QUALITY PROTEIN: structural maintenance of chromosomes protein 1A-like"
"LOC107964261","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107964261"
"LOC102655503","PREDICTED: probable WRKY transcription factor protein 1"
"LOC102656620","PREDICTED: uncharacterized protein LOC102656620"
"LOC552731","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC552731"
"LOC107964262","PREDICTED: uncharacterized protein LOC107964262, partial"
"LOC408779","PREDICTED: LOW QUALITY PROTEIN: microtubule-actin cross-linking factor 1"
"LOC409142","PREDICTED: sodium- and chloride-dependent transporter XTRP3"
"LOC726602","PREDICTED: centrosomal protein of 89 kDa-like"
"LOC726585","PREDICTED: dihydroceramide fatty acyl 2-hydroxylase FAH2"
"LOC411642","PREDICTED: NF-kappa-B inhibitor-interacting Ras-like protein"
"LOC408797","PREDICTED: nidogen-2"
"LOC727466","PREDICTED: XK-related protein 6-like"
"LOC726176","PREDICTED: dynein light chain roadblock-type 2"
"LOC408818","PREDICTED: hexokinase-1-like"
"LOC411049","PREDICTED: glutamate receptor ionotropic, kainate 2"
"LOC409051","PREDICTED: microtubule-associated protein futsch"
"LOC411579","PREDICTED: tRNA (cytosine(34)-C(5))-methyltransferase"
"LOC552379","PREDICTED: TBC1 domain family member 15"
"LOC411046","PREDICTED: uncharacterized protein LOC411046"
"LOC409794","PREDICTED: ubiquitin-conjugating enzyme E2 J1-like"
"LOC107964284","PREDICTED: uncharacterized protein LOC107964284"
"LOC408783","PREDICTED: uncharacterized protein LOC408783"
"LOC410997","PREDICTED: organic cation transporter protein-like"
"LOC102654763","PREDICTED: uncharacterized protein LOC102654763"
"LOC102655124","PREDICTED: zinc finger protein 664-like"
"LOC107964290","PREDICTED: zinc finger protein 93-like"
"LOC726045","PREDICTED: apoptosis-resistant E3 ubiquitin protein ligase 1"
"LOC725962","PREDICTED: EF-hand calcium-binding domain-containing protein 11-like"
"LOC408774","PREDICTED: lysosomal-trafficking regulator"
"LOC408773","PREDICTED: ankyrin repeat domain-containing protein 49-like"
"LOC725475","PREDICTED: COMM domain-containing protein 8-like"
"LOC410979","PREDICTED: gamma-aminobutyric acid type B receptor subunit 1"
"LOC107964293","PREDICTED: zinc finger protein 628-like"
"LOC412949","PREDICTED: glutamate receptor ionotropic, kainate 5"
"LOC552792","PREDICTED: transient receptor potential cation channel subfamily V member 5"
"LOC409789","PREDICTED: uncharacterized peptidase C1-like protein F26E4.3"
"LOC107964296","PREDICTED: uncharacterized protein LOC107964296"
"LOC102655905","PREDICTED: uncharacterized protein LOC102655905"
"LOC726410","PREDICTED: mannosyl-oligosaccharide alpha-1,2-mannosidase IA-like"
"LOC724830","PREDICTED: uncharacterized protein LOC724830"
"LOC725209","PREDICTED: sensory neuron membrane protein 2"
"LOC107964304","PREDICTED: uncharacterized protein LOC107964304"
"LOC102654066","PREDICTED: uncharacterized protein LOC102654066"
"LOC552451","PREDICTED: transmembrane and ubiquitin-like domain-containing protein 1"
"LOC724473","PREDICTED: LOW QUALITY PROTEIN: orexin receptor type 1-like"
"LOC726671","PREDICTED: uncharacterized protein LOC726671"
"LOC102654965","PREDICTED: uncharacterized protein LOC102654965"
"LOC726591","PREDICTED: LOW QUALITY PROTEIN: coiled-coil domain-containing protein 13"
"LOC409174","PREDICTED: mannosyl-oligosaccharide alpha-1,2-mannosidase IA"
"LOC100576242","PREDICTED: protein MAATS1-like, partial"
"LOC107964308","PREDICTED: uncharacterized protein LOC107964308"
"LOC726708","PREDICTED: LOW QUALITY PROTEIN: F-box only protein 28"
"LOC726254","PREDICTED: E3 ubiquitin-protein ligase HECTD1"
"LOC411013","PREDICTED: phosphatidylinositide phosphatase SAC1"
"LOC551101","PREDICTED: phenylalanine--tRNA ligase beta subunit"
"LOC409774","PREDICTED: testican-1"
"LOC409658","PREDICTED: uncharacterized protein LOC409658"
"LOC411023","PREDICTED: cadherin-23"
"LOC408793","PREDICTED: histone acetyltransferase KAT7"
"LOC102655622","PREDICTED: facilitated trehalose transporter Tret1-like"
"LOC107964319","PREDICTED: calmodulin-lysine N-methyltransferase"
"LOC408784","PREDICTED: post-GPI attachment to proteins factor 2-like"
"LOC408804","PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1"
"LOC107964321","PREDICTED: uncharacterized protein LOC107964321, partial"
"LOC551858","PREDICTED: kynurenine 3-monooxygenase"
"LOC413591","PREDICTED: nucleolar complex protein 2 homolog"
"LOC552293","PREDICTED: sialin-like"
"LOC408780","PREDICTED: signal-induced proliferation-associated 1-like protein 2"
"LOC411024","PREDICTED: DDB1- and CUL4-associated factor 13"
"LOC100578368","PREDICTED: uncharacterized protein LOC100578368"
"LOC100578947","PREDICTED: LOW QUALITY PROTEIN: SUN domain-containing ossification factor"
"LOC107964328","PREDICTED: growth/differentiation factor 6-like"
"LOC408789","PREDICTED: uncharacterized protein LOC408789"
"LOC724922","PREDICTED: uncharacterized protein LOC724922, partial"
"LOC107964329","PREDICTED: uncharacterized protein LOC107964329"
"LOC102654949","PREDICTED: uncharacterized protein LOC102654949"
"LOC411759","PREDICTED: biotin--protein ligase"
"LOC413669","PREDICTED: protein lap4"
"LOC724429","PREDICTED: LOW QUALITY PROTEIN: synaptic vesicle glycoprotein 2C-like"
"LOC409807","PREDICTED: arginine kinase-like"
"LOC411415","PREDICTED: negative elongation factor D"
"LOC413936","PREDICTED: uncharacterized protein LOC413936"
"LOC107964333","PREDICTED: uncharacterized protein LOC107964333"
"LOC409598","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC409598"
"LOC107964335","PREDICTED: melatonin receptor type 1B-B-like"
"LOC412897","PREDICTED: E3 ubiquitin-protein ligase MYLIP"
"LOC100577614","PREDICTED: uncharacterized protein LOC100577614"
"LOC107964338","PREDICTED: short transient receptor potential channel 1-like"
